tempo    | level=info ts=2023-06-21T09:54:08.708868041Z caller=wal.go:118 msg="beginning replay" file=49f911f7-17a8-4159-be55-8f88a92564d7:single-tenant:v2:snappy:v2 size=17399
agent    | ts=2023-06-21T09:54:54.136001128Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:55:04.135520683Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:55:14.135227254Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:55:24.135636806Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:55:34.1375671Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:55:44.135717275Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:55:54.135093349Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:56:04.135511608Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:56:14.135406556Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:56:24.13520231Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:56:34.136338486Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:56:44.135984854Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:56:54.135869655Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:57:04.136006077Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:57:14.135297362Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
loki     | level=info ts=2023-06-21T09:54:08.669957366Z caller=mapper.go:47 msg="cleaning up mapped rules directory" path=/tmp/loki/rules-temp
app      | Picked up JAVA_TOOL_OPTIONS:  -javaagent:./opentelemetry/opentelemetry-javaagent.jar
agent    | ts=2023-06-21T09:57:24.135973266Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:57:34.135327795Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:57:44.135357255Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:57:54.135115441Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:58:04.135909697Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:58:14.135958225Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:58:24.135511449Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:58:34.135640696Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:58:44.13581017Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:58:54.135805353Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:59:04.135242428Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:59:14.135888915Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:59:24.136449635Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:59:34.136101447Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T09:59:44.135786658Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
app      | OpenJDK 64-Bit Server VM warning: Sharing is only supported for boot loader classes because bootstrap classpath has been appended
app      | [otel.javaagent 2023-06-21 09:54:09:200 +0000] [main] INFO io.opentelemetry.javaagent.tooling.VersionLogger - opentelemetry-javaagent - version: 1.27.0
app      | 
app      | 
app      |               |\      _,,,--,,_
app      |              /,`.-'`'   ._  \-;;,_
app      |   _______ __|,4-  ) )_   .;.(__`'-'__     ___ __    _ ___ _______
app      |  |       | '---''(_/._)-'(_\_)   |   |   |   |  |  | |   |       |
app      |  |    _  |    ___|_     _|       |   |   |   |   |_| |   |       | __ _ _
app      |  |   |_| |   |___  |   | |       |   |   |   |       |   |       | \ \ \ \
app      |  |    ___|    ___| |   | |      _|   |___|   |  _    |   |      _|  \ \ \ \
app      |  |   |   |   |___  |   | |     |_|       |   | | |   |   |     |_    ) ) ) )
app      |  |___|   |_______| |___| |_______|_______|___|_|  |__|___|_______|  / / / /
app      |  ==================================================================/_/_/_/
app      | 
app      | :: Built with Spring Boot :: 3.1.0
app      | 
app      | 
app      | 2023-06-21T09:54:16.019Z  INFO 1 --- [           main] o.s.s.petclinic.PetClinicApplication     : Starting PetClinicApplication v3.1.0-SNAPSHOT using Java 17.0.2 with PID 1 (/app.jar started by root in /)
app      | 2023-06-21T09:54:16.029Z  INFO 1 --- [           main] o.s.s.petclinic.PetClinicApplication     : The following 1 profile is active: "postgres"
app      | 2023-06-21T09:54:19.311Z  INFO 1 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
app      | 2023-06-21T09:54:19.420Z  INFO 1 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 92 ms. Found 2 JPA repository interfaces.
app      | 2023-06-21T09:54:21.735Z  INFO 1 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
app      | 2023-06-21T09:54:21.793Z  INFO 1 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
app      | 2023-06-21T09:54:21.794Z  INFO 1 --- [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.8]
app      | 2023-06-21T09:54:21.923Z  INFO 1 --- [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
app      | 2023-06-21T09:54:21.925Z  INFO 1 --- [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 5690 ms
app      | 2023-06-21T09:54:23.630Z  INFO 1 --- [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
app      | 2023-06-21T09:54:24.038Z  INFO 1 --- [           main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@e296794
app      | 2023-06-21T09:54:24.056Z  INFO 1 --- [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
app      | 2023-06-21T09:54:24.520Z  INFO 1 --- [           main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
app      | 2023-06-21T09:54:24.636Z  INFO 1 --- [           main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.2.2.Final
app      | 2023-06-21T09:54:24.640Z  INFO 1 --- [           main] org.hibernate.cfg.Environment            : HHH000406: Using bytecode reflection optimizer
app      | 2023-06-21T09:54:24.899Z  INFO 1 --- [           main] o.h.b.i.BytecodeProviderInitiator        : HHH000021: Bytecode provider name : bytebuddy
app      | 2023-06-21T09:54:25.171Z  INFO 1 --- [           main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
app      | 2023-06-21T09:54:25.282Z  INFO 1 --- [           main] org.hibernate.orm.dialect                : HHH035001: Using dialect: org.hibernate.dialect.PostgreSQLDialect, version: org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$DialectResolutionInfoImpl@3a574a3b
app      | 2023-06-21T09:54:25.749Z  INFO 1 --- [           main] o.h.b.i.BytecodeProviderInitiator        : HHH000021: Bytecode provider name : bytebuddy
app      | 2023-06-21T09:54:27.272Z  INFO 1 --- [           main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
app      | 2023-06-21T09:54:27.639Z  INFO 1 --- [           main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
app      | 2023-06-21T09:54:28.505Z  INFO 1 --- [           main] o.s.d.j.r.query.QueryEnhancerFactory     : Hibernate is in classpath; If applicable, HQL parser will be used.
app      | 2023-06-21T09:54:32.769Z  INFO 1 --- [           main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 25 endpoint(s) beneath base path '/actuator'
app      | 2023-06-21T09:54:33.143Z  INFO 1 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
app      | 2023-06-21T09:54:33.179Z  INFO 1 --- [           main] o.s.s.petclinic.PetClinicApplication     : Started PetClinicApplication in 18.378 seconds (process running for 25.376)
app      | 2023-06-21T09:54:33.709Z  INFO 1 --- [nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
app      | 2023-06-21T09:54:33.710Z  INFO 1 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
app      | 2023-06-21T09:54:33.713Z  INFO 1 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
app      | 2023-06-21T09:54:37.873Z  WARN 1 --- [_WorkerThread-1] i.o.exporter.zipkin.ZipkinSpanExporter   : Failed to export spans
app      | 
app      | org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": Failed to connect to localhost/127.0.0.1:9411
app      | 	at org.springframework.web.client.RestTemplate.createResourceAccessException(RestTemplate.java:888) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	at org.springframework.web.client.RestTemplate.doExecute(RestTemplate.java:868) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	at org.springframework.web.client.RestTemplate.execute(RestTemplate.java:764) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	at org.springframework.web.client.RestTemplate.exchange(RestTemplate.java:646) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	at org.springframework.boot.actuate.autoconfigure.tracing.zipkin.ZipkinRestTemplateSender$RestTemplateHttpPostCall.doExecute(ZipkinRestTemplateSender.java:68) ~[spring-boot-actuator-autoconfigure-3.1.0.jar!/:3.1.0]
app      | 	at org.springframework.boot.actuate.autoconfigure.tracing.zipkin.ZipkinRestTemplateSender$RestTemplateHttpPostCall.doEnqueue(ZipkinRestTemplateSender.java:75) ~[spring-boot-actuator-autoconfigure-3.1.0.jar!/:3.1.0]
app      | 	at zipkin2.Call$Base.enqueue(Call.java:406) ~[zipkin-2.23.2.jar!/:na]
app      | 	at io.opentelemetry.exporter.zipkin.ZipkinSpanExporter.export(ZipkinSpanExporter.java:79) ~[opentelemetry-exporter-zipkin-1.25.0.jar!/:1.25.0]
app      | 	at io.micrometer.tracing.otel.bridge.CompositeSpanExporter.lambda$export$3(CompositeSpanExporter.java:88) ~[micrometer-tracing-bridge-otel-1.1.1.jar!/:1.1.1]
app      | 	at java.base/java.lang.Iterable.forEach(Iterable.java:75) ~[na:na]
app      | 	at io.micrometer.tracing.otel.bridge.CompositeSpanExporter.export(CompositeSpanExporter.java:88) ~[micrometer-tracing-bridge-otel-1.1.1.jar!/:1.1.1]
app      | 	at io.opentelemetry.sdk.trace.export.BatchSpanProcessor$Worker.exportCurrentBatch(BatchSpanProcessor.java:326) ~[opentelemetry-sdk-trace-1.25.0.jar!/:1.25.0]
app      | 	at io.opentelemetry.sdk.trace.export.BatchSpanProcessor$Worker.run(BatchSpanProcessor.java:244) ~[opentelemetry-sdk-trace-1.25.0.jar!/:1.25.0]
app      | 	at java.base/java.lang.Thread.run(Thread.java:833) ~[na:na]
app      | Caused by: java.net.ConnectException: Failed to connect to localhost/127.0.0.1:9411
app      | 	at okhttp3.internal.connection.RealConnection.connectSocket(RealConnection.kt:297) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.RealConnection.connect(RealConnection.kt:207) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.ExchangeFinder.findConnection(ExchangeFinder.kt:226) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.ExchangeFinder.findHealthyConnection(ExchangeFinder.kt:106) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.ExchangeFinder.find(ExchangeFinder.kt:74) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.RealCall.initExchange$okhttp(RealCall.kt:255) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.ConnectInterceptor.intercept(ConnectInterceptor.kt:32) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.cache.CacheInterceptor.intercept(CacheInterceptor.kt:95) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.http.BridgeInterceptor.intercept(BridgeInterceptor.kt:83) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.http.RetryAndFollowUpInterceptor.intercept(RetryAndFollowUpInterceptor.kt:76) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109) ~[okhttp-4.10.0.jar!/:na]
app      | 	at io.opentelemetry.javaagent.shaded.instrumentation.okhttp.v3_0.internal.ConnectionErrorSpanInterceptor.intercept(ConnectionErrorSpanInterceptor.java:38) ~[opentelemetry-javaagent.jar:na]
app      | 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109) ~[okhttp-4.10.0.jar!/:na]
app      | 	at io.opentelemetry.javaagent.instrumentation.okhttp.v3_0.OkHttp3Singletons.lambda$static$0(OkHttp3Singletons.java:36) ~[opentelemetry-javaagent.jar:na]
app      | 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.RealCall.getResponseWithInterceptorChain$okhttp(RealCall.kt:201) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.RealCall.execute(RealCall.kt:154) ~[okhttp-4.10.0.jar!/:na]
app      | 	at org.springframework.http.client.OkHttp3ClientHttpRequest.executeInternal(OkHttp3ClientHttpRequest.java:68) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	at org.springframework.http.client.AbstractBufferingClientHttpRequest.executeInternal(AbstractBufferingClientHttpRequest.java:48) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	at org.springframework.http.client.AbstractClientHttpRequest.execute(AbstractClientHttpRequest.java:66) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	at org.springframework.web.client.RestTemplate.doExecute(RestTemplate.java:862) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	... 12 common frames omitted
app      | Caused by: java.net.ConnectException: Connection refused
app      | 	at java.base/sun.nio.ch.Net.pollConnect(Native Method) ~[na:na]
app      | 	at java.base/sun.nio.ch.Net.pollConnectNow(Net.java:672) ~[na:na]
app      | 	at java.base/sun.nio.ch.NioSocketImpl.timedFinishConnect(NioSocketImpl.java:542) ~[na:na]
app      | 	at java.base/sun.nio.ch.NioSocketImpl.connect(NioSocketImpl.java:597) ~[na:na]
app      | 	at java.base/java.net.SocksSocketImpl.connect(SocksSocketImpl.java:327) ~[na:na]
app      | 	at java.base/java.net.Socket.connect(Socket.java:633) ~[na:na]
app      | 	at okhttp3.internal.platform.Platform.connectSocket(Platform.kt:128) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.RealConnection.connectSocket(RealConnection.kt:295) ~[okhttp-4.10.0.jar!/:na]
app      | 	... 35 common frames omitted
app      | 
app      | 2023-06-21T09:54:47.894Z  WARN 1 --- [_WorkerThread-1] i.o.exporter.zipkin.ZipkinSpanExporter   : Failed to export spans
app      | 
app      | org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": Failed to connect to localhost/127.0.0.1:9411
app      | 	at org.springframework.web.client.RestTemplate.createResourceAccessException(RestTemplate.java:888) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	at org.springframework.web.client.RestTemplate.doExecute(RestTemplate.java:868) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	at org.springframework.web.client.RestTemplate.execute(RestTemplate.java:764) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	at org.springframework.web.client.RestTemplate.exchange(RestTemplate.java:646) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	at org.springframework.boot.actuate.autoconfigure.tracing.zipkin.ZipkinRestTemplateSender$RestTemplateHttpPostCall.doExecute(ZipkinRestTemplateSender.java:68) ~[spring-boot-actuator-autoconfigure-3.1.0.jar!/:3.1.0]
app      | 	at org.springframework.boot.actuate.autoconfigure.tracing.zipkin.ZipkinRestTemplateSender$RestTemplateHttpPostCall.doEnqueue(ZipkinRestTemplateSender.java:75) ~[spring-boot-actuator-autoconfigure-3.1.0.jar!/:3.1.0]
app      | 	at zipkin2.Call$Base.enqueue(Call.java:406) ~[zipkin-2.23.2.jar!/:na]
app      | 	at io.opentelemetry.exporter.zipkin.ZipkinSpanExporter.export(ZipkinSpanExporter.java:79) ~[opentelemetry-exporter-zipkin-1.25.0.jar!/:1.25.0]
app      | 	at io.micrometer.tracing.otel.bridge.CompositeSpanExporter.lambda$export$3(CompositeSpanExporter.java:88) ~[micrometer-tracing-bridge-otel-1.1.1.jar!/:1.1.1]
app      | 	at java.base/java.lang.Iterable.forEach(Iterable.java:75) ~[na:na]
app      | 	at io.micrometer.tracing.otel.bridge.CompositeSpanExporter.export(CompositeSpanExporter.java:88) ~[micrometer-tracing-bridge-otel-1.1.1.jar!/:1.1.1]
app      | 	at io.opentelemetry.sdk.trace.export.BatchSpanProcessor$Worker.exportCurrentBatch(BatchSpanProcessor.java:326) ~[opentelemetry-sdk-trace-1.25.0.jar!/:1.25.0]
app      | 	at io.opentelemetry.sdk.trace.export.BatchSpanProcessor$Worker.run(BatchSpanProcessor.java:244) ~[opentelemetry-sdk-trace-1.25.0.jar!/:1.25.0]
app      | 	at java.base/java.lang.Thread.run(Thread.java:833) ~[na:na]
app      | Caused by: java.net.ConnectException: Failed to connect to localhost/127.0.0.1:9411
app      | 	at okhttp3.internal.connection.RealConnection.connectSocket(RealConnection.kt:297) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.RealConnection.connect(RealConnection.kt:207) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.ExchangeFinder.findConnection(ExchangeFinder.kt:226) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.ExchangeFinder.findHealthyConnection(ExchangeFinder.kt:106) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.ExchangeFinder.find(ExchangeFinder.kt:74) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.RealCall.initExchange$okhttp(RealCall.kt:255) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.ConnectInterceptor.intercept(ConnectInterceptor.kt:32) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.cache.CacheInterceptor.intercept(CacheInterceptor.kt:95) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.http.BridgeInterceptor.intercept(BridgeInterceptor.kt:83) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.http.RetryAndFollowUpInterceptor.intercept(RetryAndFollowUpInterceptor.kt:76) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109) ~[okhttp-4.10.0.jar!/:na]
app      | 	at io.opentelemetry.javaagent.shaded.instrumentation.okhttp.v3_0.internal.ConnectionErrorSpanInterceptor.intercept(ConnectionErrorSpanInterceptor.java:38) ~[opentelemetry-javaagent.jar:na]
app      | 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109) ~[okhttp-4.10.0.jar!/:na]
app      | 	at io.opentelemetry.javaagent.instrumentation.okhttp.v3_0.OkHttp3Singletons.lambda$static$0(OkHttp3Singletons.java:36) ~[opentelemetry-javaagent.jar:na]
app      | 	at okhttp3.internal.http.RealInterceptorChain.proceed(RealInterceptorChain.kt:109) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.RealCall.getResponseWithInterceptorChain$okhttp(RealCall.kt:201) ~[okhttp-4.10.0.jar!/:na]
app      | 	at okhttp3.internal.connection.RealCall.execute(RealCall.kt:154) ~[okhttp-4.10.0.jar!/:na]
app      | 	at org.springframework.http.client.OkHttp3ClientHttpRequest.executeInternal(OkHttp3ClientHttpRequest.java:68) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	at org.springframework.http.client.AbstractBufferingClientHttpRequest.executeInternal(AbstractBufferingClientHttpRequest.java:48) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	at org.springframework.http.client.AbstractClientHttpRequest.execute(AbstractClientHttpRequest.java:66) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	at org.springframework.web.client.RestTemplate.doExecute(RestTemplate.java:862) ~[spring-web-6.0.9.jar!/:6.0.9]
app      | 	... 12 common frames omitted
app      | Caused by: java.net.ConnectException: Connection refused
app      | 	at java.base/sun.nio.ch.Net.pollConnect(Native Method) ~[na:na]
app      | 	at java.base/sun.nio.ch.Net.pollConnectNow(Net.java:672) ~[na:na]
agent    | ts=2023-06-21T09:59:54.135047791Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T10:00:04.13581123Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T10:00:14.135876042Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T10:00:24.135199743Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T10:00:34.135352349Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T10:00:44.135961559Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
agent    | ts=2023-06-21T10:00:54.135365742Z caller=filetarget.go:260 level=debug component=logs logs_config=default msg="no files matched requested path, nothing will be tailed" path=/tmp/app.log pathExclude=
